ATM_ID,Feature_Set,Best Order,MAE (Train/Test),RMSE (Train/Test),MAPE (Train/Test)
Z0241002,F0,"(2, 0, 2)",42401.21 / 66096.08,56338.48 / 85838.16,47.36 / 50.27
Z0241002,F1,"(1, 0, 0)",40791.22 / 62410.43,55118.29 / 74449.60,45.56 / 47.47
Z0241002,F2,"(1, 0, 0)",38256.24 / 59626.41,51578.13 / 71378.06,42.73 / 45.35
Z0241002,F3,"(1, 0, 1)",39534.08 / 58461.90,53379.41 / 70056.22,44.16 / 44.46
Z0241002,F4,"(2, 0, 0)",39787.97 / 63371.59,52798.90 / 78068.39,39.27 / 43.22
Z0241002,F5,"(1, 0, 0)",10077.05 / 20958.75,14650.63 / 32308.82,9.95 / 14.29
Z0951001,F0,"(1, 0, 1)",31402.33 / 47179.21,41612.92 / 62498.18,40.86 / 61.17
Z0951001,F1,"(2, 0, 2)",28694.55 / 35624.84,37408.75 / 42923.12,37.34 / 46.19
Z0951001,F2,"(2, 0, 2)",25684.63 / 30296.44,33067.71 / 36443.49,33.42 / 39.28
Z0951001,F3,"(2, 0, 2)",26935.55 / 32727.61,35206.37 / 38583.55,35.05 / 42.43
Z0951001,F4,"(2, 0, 0)",24301.70 / 24966.59,31702.23 / 30514.90,26.75 / 27.06
Z0951001,F5,"(1, 0, 0)",9984.72 / 12340.56,15463.33 / 20052.26,10.99 / 13.37
Z1031001,F0,"(2, 0, 2)",18274.11 / 29153.59,27305.58 / 45100.58,53.69 / 85.42
Z1031001,F1,"(2, 0, 2)",18264.75 / 25143.99,26183.07 / 35380.58,53.66 / 73.67
Z1031001,F2,"(2, 0, 0)",17156.03 / 24550.52,24316.50 / 33588.18,50.41 / 71.93
Z1031001,F3,"(2, 0, 2)",18191.48 / 25387.19,24786.36 / 34925.44,53.45 / 74.38
Z1031001,F4,"(2, 0, 2)",16302.09 / 21672.66,22779.48 / 30988.18,40.24 / 53.49
Z1031001,F5,"(2, 0, 2)",5115.12 / 7872.08,7782.24 / 12824.98,12.62 / 19.43
Z1119001,F0,"(2, 0, 2)",42637.85 / 73148.57,59299.02 / 105614.23,47.60 / 80.16
Z1119001,F1,"(2, 0, 2)",41771.73 / 63959.15,56690.00 / 76875.92,46.64 / 70.09
Z1119001,F2,"(2, 0, 2)",39624.51 / 62970.56,51768.28 / 74066.05,44.24 / 69.01
Z1119001,F3,"(2, 0, 2)",42596.86 / 64788.55,53043.55 / 76188.69,47.56 / 71.00
Z1119001,F4,"(2, 0, 2)",32459.04 / 46217.24,41841.97 / 55626.01,31.15 / 43.50
Z1119001,F5,"(0, 0, 1)",11487.33 / 13393.53,15630.14 / 16685.85,11.03 / 12.61
Z1899001,F0,"(2, 0, 2)",27946.41 / 33073.21,37813.07 / 44176.55,57.51 / 68.05
Z1899001,F1,"(2, 0, 1)",26172.19 / 34198.18,36711.87 / 45245.06,53.86 / 70.36
Z1899001,F2,"(2, 0, 0)",24824.59 / 31835.97,33873.12 / 41088.69,51.08 / 65.50
Z1899001,F3,"(2, 0, 2)",25232.32 / 33798.01,34659.49 / 43559.60,51.92 / 69.54
Z1899001,F4,"(2, 0, 0)",20885.20 / 24560.31,29876.13 / 32296.60,35.69 / 43.39
Z1899001,F5,"(1, 0, 1)",7982.73 / 7516.67,12035.17 / 10201.29,13.64 / 13.28
