ATM_ID,Feature_Set,Best_Ridge_Alpha,MAE (Train/Test),RMSE (Train/Test)
Z0241002,F0,500.0,55955.66 / 55441.46,69953.49 / 70258.14
Z0241002,F1,50.0,53616.51 / 54005.08,67914.23 / 67794.88
Z0241002,F2,50.0,51332.57 / 51705.83,64700.69 / 65119.95
Z0241002,F3,50.0,52773.51 / 52221.01,66697.59 / 65954.44
Z0241002,F4,10.0,45783.71 / 56978.66,59487.85 / 73943.39
Z0241002,F5,1.0,10027.43 / 15213.06,15162.81 / 25042.19
Z0951001,F0,10.0,39620.72 / 35856.27,48237.19 / 42403.22
Z0951001,F1,50.0,37549.20 / 34045.38,45721.71 / 41941.90
Z0951001,F2,10.0,32543.69 / 27969.72,40660.81 / 35140.53
Z0951001,F3,10.0,34718.68 / 30919.22,43184.19 / 38603.58
Z0951001,F4,10.0,28736.48 / 27351.02,36649.91 / 34381.90
Z0951001,F5,10.0,10937.08 / 10014.69,16936.82 / 16107.97
Z1031001,F0,100.0,26967.71 / 24623.74,35358.76 / 31414.34
Z1031001,F1,50.0,25989.47 / 23064.46,33944.28 / 31121.59
Z1031001,F2,50.0,24847.58 / 21413.14,32609.77 / 29595.25
Z1031001,F3,50.0,25647.81 / 22755.00,33387.82 / 30647.76
Z1031001,F4,10.0,20650.19 / 19294.31,28263.85 / 29205.52
Z1031001,F5,1.0,5038.71 / 6051.56,7693.54 / 11552.57
Z1119001,F0,500.0,64345.78 / 64085.47,77934.80 / 78213.09
Z1119001,F1,100.0,63278.03 / 64963.92,76691.66 / 77102.74
Z1119001,F2,50.0,60867.44 / 62126.61,73744.28 / 73435.23
Z1119001,F3,10.0,60152.39 / 62393.86,73034.39 / 74226.06
Z1119001,F4,1.0,35358.24 / 41750.12,47353.29 / 52586.96
Z1119001,F5,1.0,11408.60 / 11259.50,15313.10 / 15015.96
Z1899001,F0,200.0,36077.63 / 31379.38,46233.86 / 38548.74
Z1899001,F1,50.0,33932.93 / 29761.63,44188.22 / 38080.23
Z1899001,F2,10.0,30705.23 / 27448.65,40903.71 / 35839.56
Z1899001,F3,10.0,32157.53 / 28274.84,42729.35 / 36853.87
Z1899001,F4,10.0,24353.96 / 20075.71,33369.85 / 26961.19
Z1899001,F5,1.0,8194.23 / 6869.07,12453.94 / 9193.99
