ATM ID,Feature Set,Best Ridge Alpha,MAE (Train/Test),RMSE (Train/Test),MAPE (%)
Z0241002,F0,500,55955.66 / 55441.46,69953.49 / 70258.14,99.08105811
Z0241002,F1,50,53616.51 / 54005.08,67914.23 / 67794.88,100.7247208
Z0241002,F2,50,51332.57 / 51705.83,64700.69 / 65119.95,100.7271407
Z0241002,F3,50,52773.51 / 52221.01,66697.59 / 65954.44,98.95307324
Z0241002,F4,10,45783.71 / 56978.66,59487.85 / 73943.39,124.4518192
Z0241002,F5,1,10027.43 / 15213.06,15162.81 / 25042.19,151.7144473
Z0951001,F0,10,39620.72 / 35856.27,48237.19 / 42403.22,90.49878447
Z0951001,F1,50,37549.20 / 34045.38,45721.71 / 41941.90,90.66872264
Z0951001,F2,10,32543.69 / 27969.72,40660.81 / 35140.53,85.94514021
Z0951001,F3,10,34718.68 / 30919.22,43184.19 / 38603.58,89.05643878
Z0951001,F4,10,28736.48 / 27351.02,36649.91 / 34381.90,95.17874145
Z0951001,F5,10,10937.08 / 10014.69,16936.82 / 16107.97,91.56639615
Z1031001,F0,100,26967.71 / 24623.74,35358.76 / 31414.34,91.30823492
Z1031001,F1,50,25989.47 / 23064.46,33944.28 / 31121.59,88.74540343
Z1031001,F2,50,24847.58 / 21413.14,32609.77 / 29595.25,86.17796985
Z1031001,F3,50,25647.81 / 22755.00,33387.82 / 30647.76,88.7210253
Z1031001,F4,10,20650.19 / 19294.31,28263.85 / 29205.52,93.43405557
Z1031001,F5,1,5038.71 / 6051.56,7693.54 / 11552.57,120.1013752
Z1119001,F0,500,64345.78 / 64085.47,77934.80 / 78213.09,99.59545133
Z1119001,F1,100,63278.03 / 64963.92,76691.66 / 77102.74,102.664258
Z1119001,F2,50,60867.44 / 62126.61,73744.28 / 73435.23,102.0687087
Z1119001,F3,10,60152.39 / 62393.86,73034.39 / 74226.06,103.7263191
Z1119001,F4,1,35358.24 / 41750.12,47353.29 / 52586.96,118.0774835
Z1119001,F5,1,11408.60 / 11259.50,15313.10 / 15015.96,98.69309118
Z1899001,F0,200,36077.63 / 31379.38,46233.86 / 38548.74,86.97738737
Z1899001,F1,50,33932.93 / 29761.63,44188.22 / 38080.23,87.70722127
Z1899001,F2,10,30705.23 / 27448.65,40903.71 / 35839.56,89.39405437
Z1899001,F3,10,32157.53 / 28274.84,42729.35 / 36853.87,87.92603163
Z1899001,F4,10,24353.96 / 20075.71,33369.85 / 26961.19,82.43304169
Z1899001,F5,1,8194.23 / 6869.07,12453.94 / 9193.99,83.82813272
